mortal,终有一死的
mortal,凡人
expire,断气
expire,到期
smother,浓烟覆盖
smother,闷死
smother,窒息
choke,使窒息
choke,呛
choke,窒息
demise,死亡
deadly,致命的
lethal,致命的
defunct,死人
defunct,死的
afflict,使痛苦
afflict,折磨
adversity,逆境
mishap,不幸
mishap,灾祸
mishap,意外
casualty,事故
casualty,意外伤亡
casualty,受害者
plague,使苦恼
plague,折磨
plague,灾祸
plague,瘟疫
plague,疫病
catastrophe,使得灾祸
catastrophe,异常的灾祸
avalanche,雪崩
cataclysm,洪水
cataclysm,大灾难
cataclysm,激变
carnage,残杀
carnage,大屠杀
holocaust,大屠杀
calamity,不幸之事
calamity,灾难
unfortunately,不幸地
disastrous,悲惨的
disastrous,灾难性的
helpless,无助的
disaster,灾难
forecast,先见
forecast,预见
forecast,预报
forecast,预测
current,当前的
current,趋势
foresight,预见
foresight,远见
foresee,预知
foretell,预言
foretell,卜
surmise,臆测
prediction,预言
prediction,预报
precursor,先趋
precursor,先兆
tendency,趋势
auspice,前兆
prospective,远景
prospective,预期的
prospect,期望
prospect,前景
provident,有远见的
provident,公积金
promising,有希望的
promising,有前途的
apt,有...倾向的
apt,易于
estimable,可估计的
imminent,即将来临的
fateful,预言性的
fateful,决定命运的
bask,曝日
bask,取暖
doze,打瞌睡，与off联用
doze,瞌睡
beguile,消遣
beguile,欺骗
lull,歇息
lull,麻痹
recreation,消遣
recreation,娱乐
nap,小睡
nap,打盹儿
drowsy,昏昏欲睡的
sole,鞋底
sole,唯一
suit,套装
suit,诉讼
cosmetics,化妆品
array,装扮
array,排列
clothing,衣服
guise,装束
guise,外观
guise,伪装
strap,背带
strap,皮带
garb,服装
garb,装束
outfit,服装
outfit,配备
attire,服装
costume,服装
aspect,外表
aspect,样子
aspect,方面
bald,光秃的
bald,秃头的
ragged,破烂的
ragged,褴褛的
shabby,褴褛的
shabby,破旧的
corpulent,肥胖的
corpulent,丰满
obese,肥大的
obese,肥胖的
obese,痴肥
stout,矮胖的
stodgy,躯体笨重的
stodgy,油腻的
clod,土块
clay,泥土
clay,粘土
agrarian,耕地的
agrarian,有关土地的
agrarian,农业
barren,荒地
barren,不孕的
barren,贫瘠的
sterile,不育的
sterile,贫瘠的
bleak,荒凉的
desolate,荒凉的
deserted,荒废的
