welfare,幸福
welfare,安宁
welfare,福利
vote,选票
vote,投票
scandal,丑闻
strike,罢工
municipal,地方自治的
municipal,市政的
immigrant,移居的
immigrant,移民的
doctrine,主义
anarchism,无政府主义
republican,共和主义
republican,共和政体
monarchy,君主政治
monarchy,帝制
check,检查
colonize,殖民
colonize,拓殖
amendment,修正案
amendment,修订
institute,建立
institute,学院
institute,研究所
administration,行政
administration,管理
administer,管理
abdicate,让位
abdicate,退位
dominate,统治
dominate,控制
dominate,主宰
reign,统治
enable,使能够
deport,放逐
deport,驱逐出境
banish,驱逐出境
banish,放逐
oust,逐出
impel,驱使
hustle,驱赶
enslave,奴役
exile,放逐
exile,流亡
immigrate,移民
emigrate,移民
inspect,视察
inspect,检查
reform,革新
reform,改革
maneuver,策略
maneuver,演习
maneuver,调动
exploit,开发
exploit,剥削
entitle,给 ... 权利
entitle,赋予
confer,协商
govern,控制
govern,决定
govern,支配
parade,游行
ideology,意识形态
ballot,选票
election,选举
committee,委员
committee,委员会
commission,委员会
autonomy,自治权
sovereignty,主权
regimen,政权
regimen,养生之道
realm,领域
realm,王国
kingdom,王国
nationality,国籍
territory,版图
territory,领土
domain,地盘
domain,版图
domain,领土
petition,请愿书
petition,上访
petition,请愿
democracy,民主
privilege,特权
authority,权威
centralized,中央集权的
centralized,集中的
influential,有权势的
influential,有影响力的
authoritative,官方的
authoritative,权威性的
potent,有全权的
potent,强有力的
domestic,国内的
domestic,家庭的
dictatorial,专制的
dictatorial,独裁的
unconventional,自由的
unconventional,非传统的
affiliate,入会
affiliate,加盟
league,联合会
league,联盟
league,同盟
confederate,同盟
diplomatic,策略
diplomatic,外交
Congress,议会
Congress,国会
Congress,代表大会
Senate,上院
Senate,参议院
board,委员会
factious,党派的
