system,体系
system,系统
component,组成部分
component,元件
respect,着眼点
respect,方面
respect,尊重
fraction,片段
junction,连接点
juncture,结合点
aspect,方面
facet,方面
segment,片段
segment,部分
proportion,部分
proportion,比例
portion,一部分
seemingly,似乎
seemingly,表面上
integrity,完整性
integrate,使并入
integrate,使结合
integral,整体的
integral,组成的
overall,全面的
overall,全部的
partially,部分地
partial,部分的
partial,局部的
superficial,表面的
superficial,肤浅的
attribute,归因于
impute,归咎于
cause,原因
cause,导致
sake,缘故
reason,推论
reason,原因
account,原因
source,源头
source,来源
gratuitous,无偿的
gratuitous,没来由的
impotence,无效
outcome,后果
outcome,成果
efficient,有效率的
effective,有效的
effect,印象
effect,效果
invalid,无效的
valid,有效的
null,无效的
tug,拖船
varnish,油漆
bulk,物体
ledge,突出部分
ledge,窗台
hinge,铰链
band,条
band,带
band,乐队
strip,带
strip,条
leash,控制
leash,牵狗的皮带
leash,拴住
spur,踢马刺
entity,实体
container,容器
container,集装箱
screen,屏幕
board,木板
souvenir,纪念品
stick,棍
canvas,帆布
girdle,腰带
girdle,带状物
vessel,船
vessel,器皿
vessel,导管
vessel,容器
craft,工艺
craft,船
article,物品
dampen,泼冷水
dampen,使潮湿
dampen,挫伤
permeate,弥漫
permeate,渗透
exude,浑身散发着
exude,流出
exude,渗出
saturate,浸透
saturate,饱和
imbue,浸染
submerge,潜水
submerge,淹没
infuse,灌输
infuse,注入
overflow,溢出
immerse,沉浸
immerse,浸泡
gush,涌出
meander,蜿蜒
spout,涌出
spout,喷出
spurt,涌出
spurt,喷出
dip,沾
dip,蘸
dip,浸
splash,泼
splash,溅
fluctuate,波动
drift,漂移
drift,漂流
spray,喷雾
influx,灌输
influx,流入
flow,流动
flow,流程
itinerant,流动的
itinerant,巡回的
abruptly,突然地
synchronize,同时发生
synchronize,进行同步
improvise,即兴创作
concur,同时发生
elapse,（时间）流逝
session,一段时间
juncture,时刻
schedule,计划表
schedule,时间表
era,时期
era,时代
interlude,间隔
interlude,间奏
interlude,插曲
epoch,时代
epoch,纪元
duration,为期
duration,持续时间
lately,最近
recently,最近的
simultaneously,同时的
beforehand,事先的
tentative,暂时的
overdue,过期的
overdue,逾期的
dated,陈旧的
dated,有年头的
abiding,永恒的
abiding,永久的
permanent,永久的
eternal,永恒的
previously,以前
previously,先前
previous,以前的
formerly,原来
formerly,以前
former,前者
former,以前的
nocturnal,夜间的
extant,现存的
concurrent,同时发生的
current,现今的
subsequent,后续的
subsequent,随后的
instantaneous,即刻的
instantaneous,瞬时的
punctual,守时的
occasional,偶然的
occasional,临时的
impromptu,即兴的
impromptu,临时的
contemporary,同时代的
contemporary,当代的
temporary,临时的
temporal,暂时的 
temporal,一时的 
offhand,临时的
forthright,立即的
immediate,立即的
pressing,紧迫的
urgent,迫切的
urgent,紧急的
extemporaneous,即席的
obsolete,偶然的
obsolete,过时的
transient,路过的
transient,短暂的
transitory,短暂的
hasty,匆忙的
everlasting,持久的
everlasting,永恒的
lasting,持久的
chronic,慢性的
chronic,长期的
perennial,永远的
perennial,长久的
cursory,仓促的
due,约定的
due,预定的
due,到期的
demonstrate,论证
demonstrate,演示
infer,推断
premise,提出前提
premise,前提
suppose,推测
suppose,假设
incur,招致
incur,遭遇
incur,承担
generalize,归纳
generalize,概括
clue,线索
presumption,猜想
presumption,推定
presume,假设
presume,假定
assumption,假设
hypothesis,假设
framework,构架
framework,框架
hence,从此
hence,因此
therefore,因此
logical,合乎逻辑的
scale,天平
scale,尺度
scale,规模
accurate,准确的
gauge,精确计量
devise,计划
devise,发明
launch,推出
launch,投射
launch,发射
contrive,发明
contrive,图谋
